number:     temperature:     humidity:     light:    gas:
1     30.90     44.30     658     274
2     30.90     44.10     656     269
3     30.90     44.10     660     265
4     30.70     44.10     664     261
5     30.70     44.10     667     259
6     30.70     44.10     669     256
7     30.60     44.00     669     254
8     30.70     44.10     663     251
9     30.70     44.70     666     246
10     30.60     47.40     678     260
11     30.70     46.50     687     255
12     30.70     46.40     681     255
13     30.80     46.80     675     256
14     30.80     46.50     748     253
15     30.80     46.60     685     252

